"","Gemeinde","Gemeindeschluessel","Postleitzahl"
"2118","Elze",3254014,"31008"
"2119","Stuttgart",8111000,"70563"
"2120","Weiler",7137110,"56729"
"2121","Neumünster",1004000,"24539"
"2122","Talheim",8327048,"78607"
"2123","München",9162000,"81477"
"2124","Meddersheim",7133064,"55566"
"2125","Schrozberg",8127075,"74575"
"2126","Grafschaft",7131090,"53501"
"2127","Oberriexingen",8118059,"71665"
"2128","Burgberg i. Allgäu",9780118,"87545"
"2129","Frankenberg (Eder)",6635011,"35066"
"2130","Herrenberg",8115021,"71083"
"2131","Regensburg",9362000,"93057"
"2132","Fuldabrück",6633008,"34277"
"2133","Steinheim am Albuch",8135032,"89555"
"2134","Sohren",7140145,"55487"
"2135","Köln",5315000,"51105"
"2136","Steinmauern",8216052,"76479"
"2137","Krölpa",16075129,"07387"
"2138","Simmerath",5334028,"52152"
"2139","Naumburg",6633018,"34311"
"2140","Teisendorf",9172134,"83317"
"2141","Zehdenick",12065356,"17268"
"2142","Jesewitz",14730140,"04838"
"2143","Hohen Neuendorf",12065144,"16540"
"2144","Obersulm",8125110,"74182"
"2145","Hatten",3458009,"26209"
"2146","Engelsberg",9189115,"84549"
"2147","Wackersdorf",9376175,"92442"
"2148","Bad Sassendorf",5974008,"59505"
"2149","Elmshorn",1056015,"25335"
"2150","Storkow (Mark)",12067481,"15859"
"2151","Gyhum",3357018,"27404"
"2152","Bad Zwischenahn",3451002,"26160"
"2153","Pommelsbrunn",9574147,"91224"
"2154","Waigolshausen",9678190,"97534"
"2155","Schlöben",16074085,"07646"
"2156","Bad Berneck i. Fichtelgebirge",9472116,"95460"
"2157","Bargteheide",1062006,"22941"
"2158","Klingenmünster",7337049,"76889"
"2159","Geilenkirchen",5370012,"52511"
"2160","Ihrlerstein",9273133,"93346"
"2161","Peine",3157006,"31226"
"2162","Obererbach",7143058,"56414"
"2163","Cuxhaven",3352011,"27478"
"2164","Bottrop",5512000,"46236"
"2165","Fridingen an der Donau",8327016,"78567"
"2166","Kirchberg i. Wald",9276126,"94259"
"2167","Sieverstedt",1059159,"24885"
"2168","Haigerloch",8417025,"72401"
"2169","Memmingerberg",9778171,"87766"
"2170","Estenfeld",9679130,"97230"
"2171","Süßen",8117049,"73079"
"2172","Sünching",9375201,"93104"
"2173","Bremen",4011000,"28719"
"2174","Michendorf",12069397,"14552"
"2175","Meckenheim",5382032,"53340"
"2176","Kirchdorf a. Inn",9277128,"84375"
"2177","Sulz am Neckar",8325057,"72172"
"2178","Chemnitz",14511000,"09127"
"2179","Böblingen",8115003,"71034"
"2180","Grafing b. München",9175122,"85567"
"2181","Tornesch",1056048,"25436"
"2182","München",9162000,"81245"
"2183","Sontheim an der Brenz",8135031,"89567"
"2184","Arnsberg",5958004,"59757"
"2185","Wriedel",3360029,"29565"
"2186","Bad Salzuflen",5766008,"32108"
"2187","Brüssow",12073085,"17326"
"2188","Bad Königshofen i. Grabfeld",9673141,"97631"
"2189","Schenklengsfeld",6632019,"36277"
"2190","Ahlen",5570004,"59227"
"2191","Weiding",9372174,"93495"
"2192","Landstuhl",7335022,"66849"
"2193","Mahlstetten",8327033,"78601"
"2194","Tangerhütte",15090546,"39517"
"2195","Lautersheim",7333041,"67308"
"2196","Regensburg",9362000,"93051"
"2197","Schönheide",14521540,"08304"
"2198","Heideblick",12061219,"15926"
"2199","Aldenhoven",5358004,"52457"
"2200","Schöllnach",9271149,"94508"
"2201","Kuhlen-Wendorf",13076078,"19412"
"2202","Gnarrenburg",3357016,"27442"
"2203","Ichenhausen",9774143,"89335"
"2204","Pleiskirchen",9171127,"84568"
"2205","Heppenheim (Bergstraße)",6431011,"64646"
"2206","Schwerin",13004000,"19055"
"2207","Baunach",9471115,"96148"
"2208","Sterup",1059167,"24996"
"2209","Leutenberg",16073106,"07338"
"2210","Hundsdorf",7143038,"56235"
"2211","Borsdorf",14729060,"04451"
"2212","Lipporn",7141080,"56357"
"2213","Bottrop",5512000,"46240"
"2214","Lohr a. Main",9677155,"97816"
"2215","Goddert",7143022,"56244"
"2216","Großheubach",9676125,"63920"
"2217","Wiernsheim",8236065,"75446"
"2218","Berglen",8119089,"73663"
"2219","Buchenbach",8315020,"79256"
"2220","Helmbrechts",9475136,"95233"
"2221","Schlieben",12062445,"04936"
"2222","Wegscheid",9275156,"94110"
"2223","Dörpling",1051023,"25794"
"2224","Vilshofen an der Donau",9275154,"94474"
"2225","Lindenberg i. Allgäu",9776117,"88161"
"2226","Oldenburg (Oldb)",3403000,"26129"
"2227","Schwabhausen",9174143,"85247"
"2228","Augsburg",9761000,"86167"
"2229","Ruppertshofen",8136061,"73577"
"2230","Nickenich",7137081,"56645"
"2231","Frankenthal",14625140,"01909"
"2232","Haiterbach",8235032,"72221"
"2233","Tasdorf",1057083,"24536"
"2234","Beutelsbach",9275117,"94501"
"2235","Büchel",7135018,"56823"
"2236","Xanten",5170052,"46509"
"2237","Remscheid",5120000,"42859"
"2238","Starnberg",9188139,"82319"
"2239","Eisenhüttenstadt",12067120,"15890"
"2240","Weilheim an der Teck",8116070,"73235"
"2241","Landau a.d. Isar",9279122,"94405"
"2242","Düsseldorf",5111000,"40625"
"2243","Rohrbach",9186149,"85296"
"2244","Leipzig",14713000,"04178"
"2245","Lunzenau",14522350,"09328"
"2246","Windorf",9275159,"94575"
"2247","Niederwürschnitz",14521430,"09399"
"2248","Jübek",1059044,"24855"
"2249","Heilbronn",8121000,"74078"
"2250","Kiel",1002000,"24107"
"2251","Lichtenstein",8415092,"72805"
"2252","Bremerhaven",4012000,"27580"
"2253","Sigmaringen",8437104,"72488"
"2254","Frasdorf",9187132,"83112"
"2255","Einbeck",3155013,"37574"
"2256","Bayerbach",9277112,"94137"
"2257","Talling",7231122,"54426"
"2258","Malsch",8226046,"69254"
"2259","Aitrang",9777111,"87648"
"2260","Rosbach v.d. Höhe",6440023,"61191"
"2261","Sulzfeld",8215082,"75056"
"2262","Bingen",8437008,"72511"
"2263","Haiming",9171118,"84533"
"2264","Wallenhorst",3459033,"49134"
"2265","Hinterschmiding",9272126,"94146"
"2266","Markt Berolzheim",9577149,"91801"
"2267","Langenhagen",3241010,"30851"
"2268","Arrach",9372113,"93474"
"2269","Brockum",3251009,"49448"
"2270","Stamsried",9372161,"93491"
"2271","Zeithain",14627360,"01619"
"2272","München",9162000,"81829"
"2273","Lauchhammer",12066176,"01979"
"2274","Briesen",12071028,"03096"
"2275","Mönchengladbach",5116000,"41179"
"2276","Eisleben",15087130,"06295"
"2277","Kolitzheim",9678150,"97509"
"2278","Bodnegg",8436018,"88285"
"2279","Marktgraitz",9478143,"96257"
"2280","Battenberg (Eder)",6635004,"35088"
"2281","Lauenburg/Elbe",1053083,"21481"
"2282","Langewiesen",16070032,"98704"
"2283","Lübeck",1003000,"23556"
"2284","Pfedelbach",8126069,"74629"
"2285","Bürgstadt",9676116,"63927"
"2286","Südheide",3351026,"29345"
"2287","Oberwolfach",8317093,"77709"
"2288","München",9162000,"81247"
"2289","Holzheim a. Forst",9375153,"93183"
"2290","Mömbris",9671143,"63776"
"2291","Ehrenburg",3251015,"27248"
"2292","Schrobenhausen",9185158,"86529"
"2293","Oederan",14522440,"09569"
"2294","Grafenberg",8415029,"72661"
"2295","Hannover",3241001,"30179"
"2296","Dermbach",16063015,"36466"
"2297","Asendorf",3251002,"27330"
"2298","Brake (Unterweser)",3461002,"26919"
"2299","Sassenburg",3151025,"38524"
"2300","Seegebiet Mansfelder Land",15087386,"06317"
"2301","Thyrnau",9275150,"94136"
"2302","Friesoythe",3453007,"26169"
"2303","Münster",5515000,"48159"
"2304","Feilitzsch",9475123,"95183"
"2305","Nonnenhorn",9776120,"88149"
"2306","Uhingen",8117051,"73066"
"2307","Olbersdorf",14626400,"02785"
"2308","Kronberg im Taunus",6434006,"61476"
"2309","Wolmirstedt",15083565,"39326"
"2310","Himmelkron",9477121,"95502"
"2311","Wahlheim",7331067,"55234"
"2312","Reutlingen",8415061,"72770"
"2313","Krefeld",5114000,"47809"
"2314","Aschaffenburg",9661000,"63739"
"2315","Pfronten",9777159,"87459"
"2316","Annaburg",15091010,"06925"
"2317","Hochdorf",8426058,"88454"
"2318","Nachrodt-Wiblingwerde",5962044,"58769"
"2319","Attenweiler",8426011,"88448"
"2320","Edingen-Neckarhausen",8226105,"68535"
"2321","Essen",5113000,"45259"
"2322","Gerlingen",8118019,"70839"
"2323","Jüterbog",12072169,"14913"
"2324","Hannover",3241001,"30559"
"2325","Lohe-Rickelshof",1051069,"25746"
"2326","Laubach",7140079,"56288"
"2327","Koblenz",7111000,"56077"
"2328","Münster-Sarmsheim",7339038,"55424"
"2329","Warin",13074084,"19417"
"2330","Karlsruhe",8212000,"76149"
"2331","Bockenem",3254008,"31167"
"2332","Penig",14522460,"09322"
"2333","Stuttgart",8111000,"70619"
"2334","Emmering",9179119,"82275"
"2335","Miltach",9372143,"93468"
"2336","Uetze",3241018,"31311"
"2337","Lutzerath",7135057,"56826"
"2338","Schafflund",1059158,"24980"
"2339","Zell (Mosel)",7135092,"56856"
"2340","Wiggensbach",9780146,"87487"
"2341","Breitscheid",6532004,"35767"
"2342","Windeck",5382076,"51570"
"2343","Lingen (Ems)",3454032,"49808"
"2344","Weiherhammer",9374166,"92729"
"2345","Büttelborn",6433003,"64572"
"2346","Bendorf",7137203,"56170"
"2347","Hohenkammer",9178133,"85411"
"2348","Hünfeld",6631015,"36088"
"2349","Warngau",9182136,"83627"
"2350","Haselund",1054041,"25855"
"2351","Söhlde",3254032,"31185"
"2352","Laaber",9375162,"93164"
"2353","Glasau",1060025,"23719"
"2354","Au",8315003,"79280"
"2355","Loßburg",8237045,"72290"
"2356","Frittlingen",8327017,"78665"
"2357","Hohen-Sülzen",7331041,"67591"
"2358","Mellrichstadt",9673142,"97638"
"2359","Lauchheim",8136038,"73466"
"2360","Durmersheim",8216009,"76448"
"2361","Süstedt",3251039,"27305"
"2362","Harburg (Schwaben)",9779155,"86655"
"2363","Regnitzlosau",9475161,"95194"
"2364","Arnsberg",5958004,"59759"
"2365","Wittibreut",9277152,"84384"
"2366","Biberach",8317011,"77781"
"2367","Zierenberg",6633029,"34289"
"2368","Lehrensteinsfeld",8125057,"74251"
"2369","Kleinheubach",9676132,"63924"
"2370","Burglengenfeld",9376119,"93133"
"2371","Freising",9178124,"85354"
"2372","Altenbeken",5774004,"33184"
"2373","Biesenthal",12060024,"16359"
"2374","Bollingstedt",1059010,"24855"
"2375","Tostedt",3353035,"21255"
"2376","Feldberger Seenlandschaft",13071033,"17258"
"2377","Hamburg",2000000,"22045"
"2378","Gladbeck",5562014,"45968"
"2379","Kirchlinteln",3361005,"27308"
"2380","Lengede",3157005,"38268"
"2381","Dortmund",5913000,"44319"
"2382","Großensee",16063036,"99837"
"2383","Wolfenbüttel",3158037,"38302"
"2384","Bernried",9271116,"94505"
"2385","Könnern",15089195,"06420"
"2386","Freihung",9371121,"92271"
"2387","Delitzsch",14730070,"04509"
"2388","Reutlingen",8415061,"72768"
"2389","Raunheim",6433010,"65479"
"2390","Nordermeldorf",1051137,"25704"
"2391","Witzenhausen",6636016,"37217"
"2392","München",9162000,"81929"
"2393","Pilsach",9373153,"92367"
"2394","Dormagen",5162004,"41542"
"2395","Aschaffenburg",9661000,"63741"
"2396","Wettin-Löbejün",15088216,"06193"
"2397","Gutenzell-Hürbel",8426135,"88484"
"2398","Altenstadt a.d. Waldnaab",9374111,"92665"
"2399","Berlin",11000000,"13503"
"2400","Otterndorf",3352046,"21762"
"2401","Hetlingen",1056027,"25491"
"2402","Bremen",4011000,"28259"
"2403","Sigmaringendorf",8437105,"72517"
"2404","Bönningstedt",1056005,"25474"
"2405","Feucht",9574123,"90537"
"2406","Meitingen",9772177,"86405"
"2407","Hamburg",2000000,"21129"
"2408","Marktzeuln",9478144,"96275"
"2409","Schirmitz",9374154,"92718"
"2410","Duisburg",5112000,"47249"
"2411","Rüdenau",9676153,"63924"
"2412","Pfaffenweiler",8315089,"79292"
"2413","Weyhe",3251047,"28844"
"2414","Paderborn",5774032,"33100"
"2415","Stuttgart",8111000,"70378"
"2416","Bernsdorf",14625030,"02994"
"2417","Kleinniedesheim",7338015,"67259"
"2418","Birkenhördt",7337008,"76889"
"2419","Gottenheim",8315043,"79288"
"2420","Schlier",8436069,"88281"
"2421","Braunschweig",3101000,"38124"
"2422","Rheinfelden (Baden)",8336069,"79618"
"2423","Hüttenberg",6532014,"35625"
"2424","Rotthalmünster",9275143,"94094"
"2425","Zossen",12072477,"15806"
"2426","Kämpfelbach",8236074,"75236"
"2427","München",9162000,"81241"
"2428","Thalheim/Erzgeb.",14521620,"09380"
"2429","Bad Driburg",5762004,"33014"
"2430","Bernbeuren",9190114,"86975"
"2431","Bad Birnbach",9277113,"84364"
"2432","Hamburg",2000000,"22175"
"2433","Kaufering",9181128,"86916"
"2434","Bad Salzungen",16063003,"36433"
"2435","Hameln",3252006,"31789"
"2436","Kastellaun",7140064,"56288"
"2437","Krailling",9188127,"82152"
"2438","Gammertingen",8437031,"72501"
"2439","Maring-Noviand",7231081,"54484"
"2440","Elztal",8225117,"74834"
"2441","Geiselhöring",9278123,"94333"
"2442","Wartenberg",9177143,"85456"
"2443","Güsten",15089165,"39439"
"2444","Niederkrüchten",5166020,"41372"
"2445","Wurzen",14729410,"04808"
"2446","Roßbach",9277142,"94439"
"2447","Niepars",13073060,"18442"
"2448","Eschau",9676123,"63863"
"2449","Berlin",11000000,"14195"
"2450","Altenstadt",9775111,"89281"
"2451","Kehrig",7137043,"56729"
"2452","Sauerlach",9184141,"82054"
"2453","Vellmar",6633026,"34246"
"2454","Jossgrund",6435016,"63637"
"2455","Fensterbach",9376125,"92269"
"2456","Neureichenau",9272136,"94089"
"2457","Mielkendorf",1058105,"24247"
"2458","Rettenbach",9372150,"93191"
"2459","Prisdorf",1056040,"25497"
"2460","Maisborn",7140089,"56291"
"2461","Ipsheim",9575135,"91472"
"2462","Viereth-Trunstadt",9471207,"96191"
"2463","Spenge",5758032,"32139"
"2464","Ilberstedt",15089185,"06408"
"2465","Erkenbrechtsweiler",8116018,"73268"
"2466","Fürth",9563000,"90765"
"2467","Umpferstedt",16071089,"99441"
"2468","Essen",5113000,"45327"
"2469","Pilsting",9279132,"94431"
"2470","Klein Nordende",1056029,"25336"
"2471","Neustetten",8416049,"72149"
"2472","Berghülen",8425017,"89180"
"2473","Spahnharrenstätte",3454048,"49751"
"2474","Edermünde",6634002,"34295"
"2475","Ebersbach-Musbach",8436093,"88371"
"2476","Limburgerhof",7338017,"67117"
"2477","Rohrdorf",8235060,"72229"
"2478","Bernsdorf",14524010,"09337"
"2479","Kastl",9377128,"95506"
"2480","Friedrich-Wilhelm-Lübke-Koog",1054034,"25924"
"2481","Köthen (Anhalt)",15082180,"06366"
"2482","Berlin",11000000,"12487"
"2483","Wittingen",3151040,"29378"
"2484","Niedenstein",6634018,"34305"
"2485","Ebelsbach",9674129,"97500"
"2486","Grünenbach",9776113,"88167"
"2487","Passau",9262000,"94032"
"2488","Hattingen",5954016,"45525"
"2489","Kirchenthumbach",9374129,"91281"
"2490","Beelen",5570012,"48361"
"2491","Niederlangen",3454039,"49779"
"2492","Hamm",5915000,"59065"
"2493","Lebach",10044112,"66822"
"2494","Marienheide",5374024,"51709"
"2495","Wirges",7143081,"56422"
"2496","Lilienthal",3356005,"28865"
"2497","Hamm",5915000,"59069"
"2498","Waldbrunn",8225118,"69429"
"2499","Böhl-Iggelheim",7338005,"67459"
"2500","Geislingen an der Steige",8117024,"73312"
"2501","Augsburg",9761000,"86179"
"2502","Bergen",9189113,"83346"
"2503","Wolken",7137231,"56332"
"2504","Würselen",5334036,"52146"
"2505","Bremen",4011000,"28357"
"2506","Magdeburg",15003000,"39116"
"2507","Neckargemünd",8226056,"69151"
"2508","Offenberg",9271140,"94560"
"2509","Bergheim",5362008,"50127"
"2510","Moosbach",9374137,"92709"
"2511","Steinau an der Straße",6435028,"36103"
"2512","Wolframs-Eschenbach",9571229,"91639"
"2513","Altlußheim",8226003,"68804"
"2514","Magdeburg",15003000,"39126"
"2515","Höhr-Grenzhausen",7143032,"56203"
"2516","Magdeburg",15003000,"39106"
"2517","Wietmarschen",3456025,"49835"
"2518","Zeitlarn",9375213,"93197"
"2519","Hösbach",9671130,"63768"
"2520","Laberweinting",9278144,"84082"
"2521","Metelen",5566052,"48629"
"2522","Münstermaifeld",7137501,"56294"
"2523","Ludwigsfelde",12072240,"14974"
"2524","Kahl a. Main",9671134,"63796"
"2525","Magdeburg",15003000,"39108"
"2526","Kaiserslautern",7312000,"67663"
"2527","Bottrop",5512000,"46238"
"2528","Oberammergau",9180125,"82487"
"2529","Bad Münder am Deister",3252002,"31848"
"2530","Handewitt",1059183,"24983"
"2531","Worms",7319000,"67550"
"2532","Donndorf",16065013,"06571"
"2533","Epenwöhrden",1051028,"25704"
"2534","Wiesbaden",6414000,"65203"
"2535","Duderstadt",3159010,"37115"
"2536","Holzmaden",8116029,"73271"
"2537","Waldsolms",6532022,"35647"
"2538","Querfurt",15088305,"06268"
"2539","Marktleugast",9477138,"95352"
"2540","Magdeburg",15003000,"39128"
"2541","München",9162000,"81739"
"2542","Seiffen/Erzgeb.",14521570,"09548"
"2543","Neudrossenfeld",9477142,"95512"
"2544","Pegnitz",9472175,"91257"
"2545","Cottbus",12052000,"03055"
"2546","Creglingen",8128020,"97993"
"2547","Neuental",6634016,"34599"
"2548","Hutthurm",9275128,"94116"
"2549","Gräfenhainichen",15091110,"06773"
"2550","Tapfheim",9779218,"86660"
"2551","Pullenreuth",9377148,"95704"
"2552","Nanzdietschweiler",7336064,"66909"
"2553","Grünberg",6531006,"35305"
"2554","Ludwigsburg",8118048,"71636"
"2555","Amberg",9778111,"86854"
"2556","Forstinning",9175118,"85661"
"2557","Sulzheim",7331063,"55286"
"2558","Neukirchen",1055031,"23779"
"2559","Leutershausen",9571174,"91578"
"2560","Bielefeld",5711000,"33613"
"2561","Gelsenkirchen",5513000,"45891"
"2562","Henfenfeld",9574131,"91239"
"2563","Bennewitz",14729030,"04828"
"2564","Unterreichenbach",8235073,"75399"
"2565","Lübeck",1003000,"23560"
"2566","Heist",1056024,"25492"
"2567","Durchhausen",8327012,"78591"
"2568","Hattstedt",1054042,"25856"
"2569","Bliestorf",1053011,"23847"
"2570","Binswangen",9773116,"86637"
"2571","Schöffengrund",6532018,"35641"
"2572","Buchholz in der Nordheide",3353005,"21244"
"2573","Kassel",6611000,"34121"
"2574","Dornburg",6533004,"65599"
"2575","Lachendorf",3351016,"29331"
"2576","Hamburg",2000000,"21035"
"2577","Grainet",9272121,"94143"
"2578","Bad Neustadt a.d. Saale",9673114,"97616"
"2579","Idstedt",1059042,"24879"
"2580","Siershahn",7143070,"56427"
"2581","Mettlach",10042114,"66693"
"2582","Werdohl",5962060,"58791"
"2583","Brennberg",9375120,"93179"
"2584","Fürth",6431007,"64658"
"2585","Niederheimbach",7339040,"55413"
"2586","Kempten (Allgäu)",9763000,"87437"
"2587","Bad Oeynhausen",5770004,"32545"
"2588","Bad Rodach",9473158,"96476"
"2589","Neuenkirchen",3251028,"27251"
"2590","Schaafheim",6432021,"64850"
"2591","Linsengericht",6435018,"63589"
"2592","Schwarzenbach a.d. Saale",9475168,"95126"
"2593","Minden",5770024,"32425"
"2594","Fürsteneck",9272119,"94142"
"2595","Oberndorf a. Lech",9779196,"86698"
"2596","Mönchengladbach",5116000,"41061"
"2597","Luhe-Wildenau",9374133,"92706"
"2598","Oberaurach",9674159,"97514"
"2599","Thurmansbang",9272150,"94169"
"2600","Bremerhaven",4012000,"27574"
"2601","Schnorbach",7140138,"55497"
"2602","Würzburg",9663000,"97082"
"2603","Bielefeld",5711000,"33619"
"2604","Hamm am Rhein",7331038,"67580"
"2605","Zeilarn",9277154,"84367"
"2606","Wolfschlugen",8116073,"72649"
"2607","Colditz",14729080,"04680"
"2608","Bietigheim-Bissingen",8118079,"74321"
"2609","Senftenberg",12066304,"01968"
"2610","Böblingen",8115003,"71032"
"2611","Neuenstadt am Kocher",8125069,"74196"
"2612","Hollenstedt",3353019,"21279"
"2613","Uffenheim",9575168,"97215"
"2614","Neunkirchen",10043114,"66538"
"2615","Königsdorf",9173134,"82549"
"2616","Dingolfing",9279112,"84130"
"2617","Essen",5113000,"45149"
"2618","Aurich",3452001,"26607"
"2619","Brunn",9375122,"93164"
"2620","Ellingen",9577125,"91792"
"2621","Wilsdruff",14628410,"01723"
"2622","Neuerkirch",7140101,"55471"
"2623","Nettersheim",5366032,"53947"
"2624","Oberhausen",9185150,"86697"
"2625","Freisen",10046111,"66629"
"2626","Seesen",3153012,"38723"
"2627","Weihenzell",9571217,"91629"
"2628","Apensen",3359003,"21641"
"2629","Fronreute",8436096,"88273"
"2630","Schönewörde",3151026,"29396"
"2631","Rosendahl",5558040,"48720"
"2632","Kattendorf",1060045,"24568"
"2633","Georgensgmünd",9576121,"91166"
"2634","Herborn",6532012,"35745"
"2635","Dudenhofen",7338007,"67373"
"2636","Mähring",9377139,"95695"
"2637","Bretzenheim",7133018,"55559"
"2638","Altenberg",14628010,"01773"
"2639","Schöngeising",9179147,"82296"
"2640","Obernheim",8417047,"72364"
"2641","Arnstein",15087031,"06343"
"2642","Odernheim am Glan",7133076,"55571"
"2643","Kirchberg an der Iller",8426065,"88486"
"2644","Freystadt",9373126,"92342"
"2645","Heidelberg",8221000,"69123"
"2646","Allendorf (Eder)",6635001,"35108"
"2647","Gützkow",13075044,"17506"
"2648","Fellbach",8119020,"70736"
"2649","Pörnbach",9186144,"85309"
"2650","Zwickau",14524330,"08058"
"2651","Schriesheim",8226082,"69198"
"2652","Albig",7331001,"55234"
"2653","Klosterlechfeld",9772162,"86836"
"2654","Maselheim",8426071,"88437"
"2655","Friedelsheim",7332020,"67159"
"2656","Lauta",14625310,"02991"
"2657","Bad Orb",6435001,"63619"
"2658","Lonsheim",7331043,"55237"
"2659","Osthausen-Wülfershausen",16070041,"99310"
"2660","Varrel",3251043,"27259"
"2661","Jünkerath",7233035,"54584"
"2662","Lößnitz",14521370,"08294"
"2663","Freising",9178124,"85356"
"2664","Apenburg-Winterfeld",15081026,"38486"
"2665","Braunschweig",3101000,"38122"
"2666","Kerken",5154028,"47647"
"2667","Plauen",14523320,"08541"
"2668","Gelnhausen",6435010,"63571"
"2669","Neuhausen auf den Fildern",8116047,"73765"
"2670","Rüthen",5974036,"59602"
"2671","Meißenheim",8317075,"77974"
"2672","Barßel",3453001,"26676"
"2673","Sulzfeld",9673173,"97633"
"2674","Aukrug",1058009,"24613"
"2675","Vechta",3460009,"49377"
"2676","Geroldshausen",9679137,"97256"
"2677","Witten",5954036,"58455"
"2678","Nürnberg",9564000,"90409"
"2679","Magdeburg",15003000,"39110"
"2680","Schwarzenbruck",9574157,"90592"
"2681","Bad Elster",14523040,"08645"
"2682","Alfdorf",8119001,"73553"
"2683","Loit",1059055,"24888"
"2684","Schönebeck (Elbe)",15089305,"39218"
"2685","Rheinzabern",7334024,"76764"
"2686","Cölbe",6534006,"35091"
"2687","Grafenau",9272120,"94481"
"2688","Mellingen",16071056,"99441"
"2689","Holdorf",3460005,"49451"
"2690","Büchenbeuren",7140024,"55491"
"2691","Heiden",5554028,"46286"
"2692","Weißendorf",16076081,"07950"
"2693","Mansfeld",15087275,"06343"
"2694","Meppen",3454035,"49716"
"2695","Wörrstadt",7331073,"55286"
"2696","Seeon-Seebruck",9189143,"83376"
"2697","Schriesheim",8226082,"69493"
"2698","Reichenbach an der Fils",8116058,"73262"
"2699","Preußisch Oldendorf",5770036,"32361"
"2700","Tegernsee",9182132,"83684"
"2701","Karlsruhe",8212000,"76135"
"2702","Frankfurt (Oder)",12053000,"15236"
"2703","Löcknitz",13075079,"17321"
"2704","Hofheim am Taunus",6436007,"65719"
"2705","Aschaffenburg",9661000,"63743"
"2706","Barnstorf",3251005,"49406"
"2707","Sondershausen",16065067,"99706"
"2708","Wallscheid",7231127,"54531"
"2709","Bonn",5314000,"53121"
"2710","Raesfeld",5554040,"46348"
"2711","Oberstaufen",9780132,"87534"
"2712","Rogätz",15083440,"39326"
"2713","Dargelin",13075025,"17498"
"2714","Brensbach",6437003,"64395"
"2715","Kisdorf",1060047,"24629"
"2716","Krefeld",5114000,"47807"
"2717","Emden",3402000,"26723"
"2718","Kröv",7231072,"54536"
"2719","Oßling",14625420,"01920"
"2720","Bonstetten",9772126,"86486"
"2721","Tanna",16075132,"07922"
"2722","Karlsruhe",8212000,"76228"
"2723","München",9162000,"81827"
"2724","Burg (Dithmarschen)",1051016,"25712"
"2725","Bad Reichenhall",9172114,"83435"
"2726","Türkheim",9778203,"86842"
"2727","Riegelsberg",10041517,"66292"
"2728","Wallerstein",9779224,"86757"
"2729","Fischach",9772141,"86850"
"2730","Wöbbelin",13076156,"19288"
"2731","Höpfingen",8225039,"74746"
"2732","Steinfeld",7337076,"76889"
"2733","Andernach",7137003,"56626"
"2734","Niederdorfelden",6435022,"61138"
"2735","Eggenthal",9777124,"87653"
"2736","Lauchringen",8337065,"79787"
"2737","Bad Bramstedt",1060004,"24576"
"2738","Plauen",14523320,"08547"
"2739","Burghausen",9171112,"84489"
"2740","Plaidt",7137088,"56637"
"2741","Neufeld",1051076,"25724"
"2742","Thallwitz",14729380,"04808"
"2743","Bad Salzdetfurth",3254005,"31174"
"2744","Kuppenheim",8216024,"76456"
"2745","Karlsruhe",8212000,"76189"
"2746","Emmerthal",3252005,"31860"
"2747","Werningshausen",16068059,"99634"
"2748","Neustadt am Kulm",9374140,"95514"
"2749","Pölitz",1062056,"23847"
"2750","Burgrieden",8426028,"88483"
"2751","Lörrach",8336050,"79540"
"2752","Au am Rhein",8216002,"76474"
"2753","Fremdingen",9779147,"86742"
"2754","Andechs",9188117,"82346"
"2755","Berlin",11000000,"12589"
"2756","Waldesch",7137227,"56323"
"2757","Elpersbüttel",1051027,"25704"
"2758","Mengerskirchen",6533011,"35794"
"2759","Biblis",6431003,"68647"
"2760","Wiesbaden",6414000,"65189"
"2761","Alfter",5382004,"53347"
"2762","Satteldorf",8127073,"74589"
"2763","Steinhagen",5754040,"33803"
"2764","Schellerten",3254029,"31174"
"2765","Bernau a. Chiemsee",9187118,"83233"
"2766","Kremperheide",1061056,"25569"
"2767","Oberschleißheim",9184135,"85764"
"2768","Bad Nauheim",6440002,"61231"
"2769","Westoverledingen",3457022,"26810"
"2770","Oeschebüttel",1061080,"25548"
"2771","Germersheim",7334007,"76726"
"2772","Salzweg",9275146,"94121"
"2773","Erfurt",16051000,"99089"
"2774","Rinteln",3257031,"31737"
"2775","Bonn",5314000,"53119"
"2776","Katzweiler",7335017,"67734"
"2777","Lindenfels",6431015,"64678"
"2778","Kleineutersdorf",16074048,"07768"
"2779","Waldbüttelbrunn",9679205,"97297"
"2780","Kreuzau",5358028,"52372"
"2781","Windischeschenbach",9374168,"92670"
"2782","Riedenburg",9273164,"93339"
"2783","Hohenhameln",3157002,"31249"
"2784","Wustrow",13073103,"18347"
"2785","Bellenberg",9775115,"89287"
"2786","Unterdietfurt",9277151,"84339"
"2787","Deining",9373119,"92364"
"2788","Simbach",9279135,"94436"
"2789","Saaldorf-Surheim",9172130,"83416"
"2790","Stadtilm",16070048,"99326"
"2791","Wokuhl-Dabelow",13071162,"17237"
"2792","Hanstedt",3353016,"21271"
"2793","Ernsgaden",9186116,"85119"
"2794","Wehringen",9772215,"86517"
"2795","Dahlenburg",3355013,"21368"
"2796","Alzenau",9671111,"63755"
"2797","Friedberg (Hessen)",6440008,"61169"
"2798","Dorfchemnitz",14522090,"09619"
"2799","Stralsund",13073088,"18439"
"2800","Alsheim",7331002,"67577"
"2801","Bünde",5758004,"32257"
"2802","Leonberg",8115028,"71229"
